Punjab,Amritsar,Amritsar,Wheat,Hybrid,B,09/02/2024,2772.0,3028.0,2915.0,25
Madhya Pradesh,Indore,Indore,Sugarcane,Hybrid,Standard,06/02/2024,178.0,397.0,228.0,39
Rajasthan,Ajmer,Ajmer,Potato,Premium,Standard,20/04/2024,1400.0,1558.0,1462.0,18
Gujarat,Ahmedabad,Ahmedabad,Onion,FAQ,Standard,28/02/2024,2564.0,2890.0,2695.0,16
Uttar Pradesh,Allahabad,Allahabad,Sugarcane,Hybrid,Premium,13/04/2024,681.0,976.0,794.0,16
West Bengal,Bardhaman,Bardhaman,Onion,Local,B,20/02/2024,2599.0,2821.0,2668.0,2
Punjab,Jalandhar,Jalandhar,Tomato,Hybrid,B,22/06/2024,3956.0,4191.0,4081.0,35
West Bengal,Bardhaman,Bardhaman,Potato,FAQ,B,16/05/2024,1575.0,1803.0,1656.0,46
Karnataka,Mangalore,Mangalore,Tomato,Premium,Premium,22/06/2024,4035.0,4304.0,4196.0,30
Uttar Pradesh,Allahabad,Allahabad,Sugarcane,Hybrid,FAQ,15/05/2024,449.0,798.0,610.0,30
Gujarat,Surat,Surat,Onion,Premium,B,16/02/2024,2934.0,3217.0,3103.0,33
West Bengal,Kolkata,Kolkata,Sugarcane,Standard,Standard,16/05/2024,26.0,189.0,82.0,45
West Bengal,Nadia,Nadia,Rice,Standard,B,01/06/2024,2015.0,2296.0,2120.0,43
West Bengal,Howrah,Howrah,Sugarcane,Standard,Premium,23/05/2024,683.0,1074.0,883.0,2
West Bengal,Bardhaman,Bardhaman,Onion,Local,A,16/04/2024,3157.0,3511.0,3339.0,50
Madhya Pradesh,Ujjain,Ujjain,Potato,FAQ,Standard,23/06/2024,1943.0,2076.0,2002.0,36
Maharashtra,Nashik,Nashik,Sugarcane,FAQ,FAQ,09/01/2024,849.0,1168.0,1014.0,14
Karnataka,Hubli,Hubli,Tomato,Hybrid,A,03/04/2024,3404.0,3758.0,3569.0,27
Gujarat,Gandhinagar,Gandhinagar,Potato,FAQ,Premium,08/05/2024,1749.0,2098.0,1935.0,1
Maharashtra,Aurangabad,Aurangabad,Wheat,Hybrid,FAQ,29/02/2024,2558.0,2812.0,2661.0,27
Madhya Pradesh,Jabalpur,Jabalpur,Onion,Standard,Premium,03/04/2024,3875.0,4025.0,3932.0,35
